client,last_visit,visits,unique_visits,amount,quantity,items,weekends,Recency,Frequency,Monetary,avg_check,avg_items,last_visit_amount,event
client10515,2019-05-12,20,2,1415,28,19,20,112,2,1415,707.5,14.0,198,False
client10516,2019-05-03,28,4,45626,120,28,1,121,4,45626,11406.5,30.0,305,False
client10517,2019-08-02,2,1,6198,2,2,0,30,1,6198,6198.0,2.0,199,True
client10518,2019-03-25,35,4,4930,46,34,11,160,4,4930,1232.5,11.5,196,False
client10519,2018-02-27,15,4,3134,19,15,5,551,4,3134,783.5,4.75,422,False
client10520,2019-08-14,65,14,16611,128,62,10,18,14,16611,1186.5,9.142857142857142,109,True
client10521,2019-07-13,43,13,48893,136,42,18,50,13,48893,3761.0,10.461538461538462,13134,True
client10522,2019-06-12,13,2,946,15,13,0,81,2,946,473.0,7.5,23,False
client10523,2018-12-24,11,1,1349,12,11,0,251,1,1349,1349.0,12.0,599,True
client10524,2018-07-15,3,1,12728,3,2,3,413,1,12728,12728.0,3.0,11990,False
client10525,2018-11-22,5,3,6848,26,5,0,283,3,6848,2282.6666666666665,8.666666666666666,549,False
client10526,2019-08-31,42,15,11627,61,39,17,1,15,11627,775.1333333333333,4.066666666666666,345,True
client10527,2019-08-14,58,18,11852,93,45,17,18,18,11852,658.4444444444445,5.166666666666667,9,False
client10528,2019-08-13,58,18,14925,88,49,14,19,18,14925,829.1666666666666,4.888888888888889,769,True
client10529,2019-07-23,9,2,4490,11,9,7,40,2,4490,2245.0,5.5,79,False
client1053,2019-06-27,10,7,11007,13,7,4,66,7,11007,1572.4285714285713,1.8571428571428572,2199,False
client10531,2019-03-30,1,1,633,4,1,1,155,1,633,633.0,4.0,633,False
client10532,2019-07-20,20,6,4359,29,18,11,43,6,4359,726.5,4.833333333333333,273,False
client10533,2019-08-19,2,2,5177,2,2,0,13,2,5177,2588.5,1.0,2699,False
client10535,2019-07-13,4,1,3935,5,4,4,50,1,3935,3935.0,5.0,1199,False
