item,abc,xyz,abc_xyz
sku7829,C,X,CX
sku9535,C,Z,CZ
sku4804,C,X,CX
sku22321,C,Z,CZ
sku9344,C,Z,CZ
sku19285,C,Z,CZ
sku30097,C,Z,CZ
sku13127,C,Z,CZ
sku21740,C,X,CX
sku3345,C,X,CX
sku16654,C,X,CX
sku1948,C,Z,CZ
sku26201,C,Y,CY
sku14361,C,Z,CZ
sku10484,C,X,CX
sku5094,C,Z,CZ
sku26849,C,X,CX
sku2159,C,Z,CZ
sku27928,C,Z,CZ
sku3724,C,Z,CZ
sku18703,C,Z,CZ
sku2796,C,Z,CZ
sku3494,C,Z,CZ
sku28118,C,X,CX
sku13836,C,Z,CZ
sku12640,C,Z,CZ
sku9013,C,X,CX
sku4710,C,Z,CZ
sku18002,C,X,CX
sku20717,C,Y,CY
sku6019,C,Z,CZ
sku2282,C,X,CX
sku28498,C,Z,CZ
sku17590,C,Z,CZ
sku27511,C,Z,CZ
sku2953,C,Z,CZ
sku5728,C,Z,CZ
sku2180,C,Z,CZ
sku21379,C,Z,CZ
sku10039,C,Z,CZ
sku13512,C,Z,CZ
sku7276,C,X,CX
sku5396,C,Z,CZ
sku25082,C,Z,CZ
sku22075,C,Z,CZ
sku22673,C,Y,CY
sku2036,C,Z,CZ
sku899,C,Z,CZ
sku6755,C,Z,CZ
sku12702,C,Z,CZ
sku2921,C,X,CX
sku27466,C,Z,CZ
sku26251,C,Z,CZ
sku4238,C,Z,CZ
sku4626,C,Z,CZ
sku30355,C,X,CX
sku8696,C,X,CX
sku20625,C,Z,CZ
sku7703,C,Z,CZ
sku16563,C,Z,CZ
sku10011,C,Y,CY
sku13849,C,Z,CZ
sku6987,C,X,CX
sku14159,C,Z,CZ
sku21609,C,Z,CZ
sku23985,C,X,CX
sku22776,C,Z,CZ
sku11458,C,Z,CZ
sku26005,C,Z,CZ
sku7475,C,X,CX
sku12025,C,Y,CY
sku30457,C,Z,CZ
sku21527,C,Z,CZ
sku16433,C,Z,CZ
