client,last_visit,visits,unique_visits,amount,quantity,items,weekends,Recency,Frequency,Monetary,avg_check,avg_items,last_visit_amount
client10103,2019-06-27,7,3,19876,47,7,0,96,3,19876,6625.333333333333,15.666666666666666,891
client10104,2018-07-13,23,4,4135,40,22,10,445,4,4135,1033.75,10.0,87
client10105,2017-10-22,1,1,8246,14,1,1,709,1,8246,8246.0,14.0,8246
client10106,2019-07-24,1,1,1118,2,1,0,69,1,1118,1118.0,2.0,1118
client10107,2019-08-08,195,42,36780,301,172,66,54,42,36780,875.7142857142857,7.166666666666667,1399
client10108,2019-09-27,4,2,3443,10,3,0,4,2,3443,1721.5,5.0,999
client10109,2018-08-19,1,1,7999,1,1,1,408,1,7999,7999.0,1.0,7999
client1011,2019-09-25,31,22,20942,62,22,3,6,22,20942,951.9090909090909,2.8181818181818183,117
client10110,2019-07-25,1,1,4499,1,1,0,68,1,4499,4499.0,1.0,4499
client10111,2019-08-04,2,1,1618,2,2,2,58,1,1618,1618.0,2.0,619
client10112,2019-08-04,67,25,38380,125,63,13,58,25,38380,1535.2,5.0,297
client10114,2019-01-01,2,1,714,2,2,0,273,1,714,714.0,2.0,315
client10115,2018-03-19,8,2,1290,14,8,1,561,2,1290,645.0,7.0,99
client10116,2019-01-08,24,9,19326,34,22,11,266,9,19326,2147.3333333333335,3.7777777777777777,209
client10117,2019-08-31,13,5,11053,15,13,1,31,5,11053,2210.6,3.0,698
client10118,2019-01-17,3,1,1813,17,3,0,257,1,1813,1813.0,17.0,99
client10119,2019-07-31,69,18,28132,109,49,24,62,18,28132,1562.888888888889,6.055555555555555,98
client1012,2019-06-07,101,8,18498,127,91,12,116,8,18498,2312.25,15.875,17
client10120,2019-07-22,58,14,98484,173,54,13,71,14,98484,7034.571428571428,12.357142857142858,309
client10121,2018-09-09,2,1,1694,6,2,2,387,1,1694,1694.0,6.0,178
client10122,2018-10-13,3,1,1193,6,3,3,353,1,1193,1193.0,6.0,225
client10123,2019-09-26,102,37,48649,181,96,35,5,37,48649,1314.837837837838,4.891891891891892,125
client10124,2019-01-20,46,2,9102,64,46,9,254,2,9102,4551.0,32.0,49
client10125,2019-09-12,236,25,98116,365,213,44,19,25,98116,3924.64,14.6,107
client10126,2018-08-18,5,1,1577,11,5,5,409,1,1577,1577.0,11.0,198
client10127,2017-12-22,16,1,3211,27,16,0,648,1,3211,3211.0,27.0,30
client10128,2019-09-26,126,21,42967,159,122,22,5,21,42967,2046.047619047619,7.571428571428571,108
client10129,2019-06-29,126,12,16697,501,117,7,94,12,16697,1391.4166666666667,41.75,1130
client1013,2019-08-06,104,30,61395,247,83,13,56,30,61395,2046.5,8.233333333333333,359
client10130,2019-09-24,54,9,4973,69,49,0,7,9,4973,552.5555555555555,7.666666666666667,99
client10131,2019-08-18,62,32,48641,176,47,19,44,32,48641,1520.03125,5.5,558
client10132,2019-09-28,223,44,20716,297,184,112,3,44,20716,470.8181818181818,6.75,88
client10133,2018-05-09,7,1,1908,12,7,0,510,1,1908,1908.0,12.0,745
client10134,2017-09-25,3,1,6264,7,3,0,736,1,6264,6264.0,7.0,975
client10135,2019-07-07,11,8,1820,19,5,5,86,8,1820,227.5,2.375,165
client10136,2018-08-25,7,2,2052,8,7,1,402,2,2052,1026.0,4.0,398
client10137,2017-11-12,7,1,1867,12,7,7,688,1,1867,1867.0,12.0,759
client10139,2018-12-16,10,3,6993,28,10,3,289,3,6993,2331.0,9.333333333333334,29
client1014,2019-09-25,116,17,79959,295,98,46,6,17,79959,4703.470588235294,17.352941176470587,285
client10140,2018-02-06,17,3,4293,33,17,0,602,3,4293,1431.0,11.0,78
client10141,2018-08-02,6,1,5459,57,6,0,425,1,5459,5459.0,57.0,399
client10143,2019-09-25,41,14,14395,60,36,9,6,14,14395,1028.2142857142858,4.285714285714286,209
client10144,2019-09-13,36,8,17635,56,35,10,18,8,17635,2204.375,7.0,40
client10145,2019-09-15,79,20,123031,283,70,32,16,20,123031,6151.55,14.15,85
client10146,2019-09-22,22,4,4806,35,22,4,9,4,4806,1201.5,8.75,1908
client10147,2019-07-08,49,15,8086,91,39,10,85,15,8086,539.0666666666667,6.066666666666666,420
client10148,2019-05-16,2,1,867,3,2,0,138,1,867,867.0,3.0,89
client10149,2019-09-05,4,2,539,4,3,0,26,2,539,269.5,2.0,99
client1015,2019-08-23,86,21,37246,216,74,45,39,21,37246,1773.6190476190477,10.285714285714286,39
client10150,2019-03-02,11,3,3628,12,11,1,213,3,3628,1209.3333333333333,4.0,1399
client10151,2019-08-23,2,1,3354,2,2,0,39,1,3354,3354.0,2.0,55
client10152,2019-04-29,16,4,16453,64,13,2,155,4,16453,4113.25,16.0,102
